Date,Taluk,Population,Density,Disease,Cases,Recoveries,Deaths,R0,Temperature,Humidity,Rainfall,Hospital Capacity,ICU Beds,Ventilators,Daily Tests,Vaccination Rate,Avg Income,Below Poverty Line,Air Quality Index,Waterborne Cases,Income,Poverty Rate,Latitude,Longitude,Mobility Index
2025-01-01,Thoothukudi,892530,2640.61,COVID-19,403,395,7,1.96,29.7,59.7,7.65,918,68,37,1156,0.47,92014,3373,74,37,92014,0.38,10.74055,78.2692,0.76
2025-01-01,Thoothukudi,587067,769.01,Dengue,226,217,2,1.14,37.39,55.67,26.07,484,90,9,1874,0.36,435177,36537,65,12,435177,6.22,13.24799,79.96807,0.81
2025-01-01,Thoothukudi,192212,2425.34,Cholera,99,97,0,0.97,28.73,80.17,15.27,515,55,23,1385,0.55,360174,5935,73,33,360174,3.09,10.2653,78.36262,0.4
2025-01-01,Thoothukudi,495321,2426.28,Typhoid,94,85,0,1.14,39.13,74.17,32.09,861,64,38,1803,0.72,388727,2601,152,13,388727,0.53,13.08622,78.85358,0.24
2025-01-01,Thoothukudi,217979,2939.58,Influenza,288,285,1,2.29,27.7,67.13,81.95,438,65,36,379,0.72,487472,15184,116,37,487472,6.97,9.87718,78.5078,0.85
2025-01-01,Thoothukudi,432377,826.65,Malaria,114,112,1,1.17,30.83,57.15,82.04,266,19,30,1072,0.63,203308,3023,83,12,203308,0.7,13.47408,77.51897,0.35
2025-01-01,Thoothukudi,993060,1567.86,Hepatitis A,58,50,0,0.86,31.63,59.96,114.45,819,90,40,1090,0.83,304910,33741,108,6,304910,3.4,10.16925,79.61364,0.58
2025-01-01,Thoothukudi,201857,2576.89,H1N1,343,337,2,2.37,38.13,60.73,167.42,690,84,45,1333,0.74,406741,30319,54,19,406741,15.02,12.04651,78.69857,0.38
2025-01-01,Thoothukudi,571472,2655.43,Tuberculosis,260,254,1,2.17,39.28,51.43,75.07,117,78,40,302,0.5,404237,10212,54,14,404237,1.79,8.0973,78.19565,0.82
2025-01-02,Thoothukudi,825015,1842.62,COVID-19,255,248,1,1.04,38.99,41.27,160.88,152,51,47,933,0.42,186309,14881,88,24,186309,1.8,8.32352,78.73317,0.65
2025-01-02,Thoothukudi,301444,1094.49,Dengue,209,199,2,0.99,27.73,41.75,85.18,448,7,13,1552,0.49,496864,12295,134,41,496864,4.08,13.4454,78.55469,0.67
2025-01-02,Thoothukudi,483997,2373.19,Cholera,144,141,1,1.56,33.8,80.72,110.21,956,69,13,707,0.75,95367,15605,83,19,95367,3.22,9.61668,76.03629,0.43
2025-01-02,Thoothukudi,483598,2248.6,Typhoid,51,42,0,1.42,33.77,58.71,113.47,89,30,38,568,0.94,194316,35339,188,26,194316,7.31,9.66485,76.01107,0.36
2025-01-02,Thoothukudi,489685,2638.44,Influenza,237,235,2,2.05,33.16,72.79,162.61,292,62,26,1751,0.54,389545,10338,197,38,389545,2.11,12.57645,79.33516,0.8
2025-01-02,Thoothukudi,637328,1531.75,Malaria,187,183,3,2.02,39.91,48.44,172.38,136,92,40,1121,0.8,399940,6013,74,11,399940,0.94,12.06526,76.6387,0.55
2025-01-02,Thoothukudi,335726,2365.74,Hepatitis A,80,77,1,0.89,33.72,77.97,47.2,242,50,10,1445,0.31,223788,46095,82,43,223788,13.73,12.23182,78.27157,0.4
2025-01-02,Thoothukudi,817202,2680.34,H1N1,158,157,1,1.07,35.41,85.84,177.36,61,27,20,535,0.32,83437,40903,80,32,83437,5.01,11.85565,77.18302,0.93
2025-01-02,Thoothukudi,231932,824.18,Tuberculosis,219,209,2,2.21,26.03,78.44,23.65,392,80,20,1740,0.35,465965,30598,84,38,465965,13.19,8.99491,80.28047,0.32
2025-01-03,Thoothukudi,938202,2902.86,COVID-19,322,312,4,2.23,38.04,74.12,33.62,814,26,30,876,0.38,248433,14973,63,17,248433,1.6,9.93388,78.95692,0.22
2025-01-03,Thoothukudi,714523,1680.67,Dengue,124,118,2,0.88,27.6,41.64,103.4,649,15,18,765,0.59,460097,10531,171,45,460097,1.47,8.4267,77.07526,0.22
2025-01-03,Thoothukudi,430874,2913.66,Cholera,335,323,4,2.29,29.54,61.72,142.93,115,49,15,164,0.76,488137,33093,91,30,488137,7.68,8.42549,76.05775,0.8
2025-01-03,Thoothukudi,783686,1434.18,Typhoid,204,194,3,1.1,31.15,74.26,189.49,153,46,23,226,0.52,474400,14510,109,21,474400,1.85,10.36695,79.39394,0.9
2025-01-03,Thoothukudi,756649,2333.1,Influenza,86,83,0,1.28,35.98,62.11,134.96,771,91,36,326,0.95,148336,38258,115,21,148336,5.06,10.81362,79.03571,0.22
2025-01-03,Thoothukudi,242674,612.34,Malaria,208,204,2,1.76,32.0,45.94,37.7,358,58,20,621,0.32,441334,47846,162,40,441334,19.72,9.02227,76.71635,0.53
2025-01-03,Thoothukudi,300087,638.98,Hepatitis A,114,108,2,1.67,30.85,75.98,128.52,997,95,45,730,0.56,436790,23990,86,34,436790,7.99,11.05991,80.1542,0.99
2025-01-03,Thoothukudi,674456,1242.69,H1N1,258,245,4,1.53,32.91,87.22,55.86,301,49,45,630,0.7,159179,37970,140,30,159179,5.63,9.57983,76.08611,0.73
2025-01-03,Thoothukudi,325558,772.13,Tuberculosis,139,133,1,1.66,27.5,51.76,9.31,420,73,47,551,0.58,386787,29235,55,26,386787,8.98,9.48004,76.44687,0.74
